StockCode,Source,Model,MAE,RMSE,WAPE,Bias
22674,ML,HistGBR,3.5359182639008466,7.011244018375406,1.0349029065075648,-0.6374580842708724
22675,ML,HistGBR,4.742444381094216,8.081003743058007,1.0347151376932833,-0.7126368828881929
22676,ML,HistGBR,8.559363290676606,18.049840995559393,0.987618841231916,-0.7645201314686209
22677,ML,HistGBR,8.41906246284915,20.21572457705923,0.9714302841749018,-0.8454564740485829
22678,ML,HistGBR,3.7475469514611426,6.567180275579949,0.956820498245398,-0.7071829061889858
22679,ML,HistGBR,2.0957705435811786,3.770481823716439,0.9672787124220824,-0.531273996732182
22680,ML,HistGBR,6.691838564631971,9.505072863255387,0.9913834910565883,-0.8835526259735841
22681,ML,HistGBR,2.189835697506083,3.484370098803854,1.0106933988489613,-0.45371078607715
22682,ML,HistGBR,3.829118390025125,6.7901287968559165,1.0210982373400332,-0.7599522546091124
22683,ML,HistGBR,3.5675048168664367,6.466106780105702,0.9513346178310498,-0.7436406324714396
22684,ML,HistGBR,4.4079699426690455,7.353575416668133,1.0579127862405708,-0.8436111354552448
22685,ML,HistGBR,3.0608733851465733,6.1260972630383055,1.1130448673260267,-0.6326448509915084
22686,ML,HistGBR,2.0882704296500747,3.0351837264087216,1.1390565979909497,0.0870913565402942
22687,ML,HistGBR,1.9494049325705909,2.146107654818762,1.7994507069882377,0.8560624133654972
22688,ML,HistGBR,9.118953102511423,9.306967868623369,15.632491032876725,15.632491032876725
22689,ML,HistGBR,3.22945736052972,4.989410470504438,0.7311978929501253,-0.49975221937601116
22690,ML,HistGBR,3.204322975116451,4.430502553354816,0.8544861266977203,-0.6810698911659739
22691,ML,HistGBR,2.3056781899702803,2.8028822863318843,1.6275375458613743,0.6659668067583202
22692,ML,HistGBR,1.2670126725082052,1.7688334811622,0.6335063362541026,-0.0692980328248949
22693,ML,HistGBR,38.46290424187045,63.51392109093818,0.8361500922145749,-0.7323269315730995
22694,ML,HistGBR,11.326089379752132,13.296224995975068,0.8768585326259715,-0.8768585326259715
22695,ML,HistGBR,6.310810517659299,13.14204287004488,0.8605650705899044,-0.8470445662873467
22696,ML,HistGBR,7.801921935121235,14.54804877375897,0.8916482211567125,-0.8916482211567125
22697,ML,HistGBR,8.366024669308862,12.988320776202436,0.4563286183259379,-0.21777060268953166
22698,ML,HistGBR,20.403540085374047,22.876755812950623,1.7488748644606327,1.7453671947121165
22699,ML,HistGBR,8.975844817754924,9.574098071547494,0.478711723613596,-0.14513849181590927
22700,ML,HistGBR,0.6394127832097922,0.8697550295437554,2.557651132839169,0.8624830667941984
22701,ML,HistGBR,2.0258926299888698,4.275657663043317,1.0569874591246278,-0.7038218492261047
22702,ML,HistGBR,0.9058115404434411,1.6703236525882703,1.3587173106651618,-0.3374070628731214
22703,ML,HistGBR,2.6859279494472452,7.434051820160053,1.0397140449473208,-0.821001048339602
22704,ML,HistGBR,14.237404326930525,14.815989933234883,0.7593282307696281,-0.5362892375478729
22705,ML,HistGBR,11.124154535493581,14.731580626617351,1.0679188354073839,-0.7346684959203162
22706,ML,HistGBR,13.529586677782655,23.922385214061773,1.0823669342226125,-0.7862528749327953
22707,ML,HistGBR,10.76548550503369,14.832442831717934,1.0334866084832341,-0.7921368606446283
22708,ML,HistGBR,18.177437173188483,23.568950577607882,0.9694633159033857,-0.7977002650072915
22709,ML,HistGBR,7.87551976226824,11.694469023404611,1.2600831619629185,-0.565095506549366
22710,ML,HistGBR,61.97127198155358,173.55085662020315,0.9915403517048573,-0.9686864107582234
22711,ML,HistGBR,12.46450327379601,16.008592518464095,0.9971602619036808,-0.8004659191774283
22712,ML,HistGBR,10.488057251726215,16.320892234556137,0.7581728133777986,-0.3229705886312603
22713,ML,HistGBR,6.23580589759407,6.38061060718957,1.0393009829323452,0.16490256989389904
22714,ML,HistGBR,5.900536155840662,6.621577416061601,0.9568437009471343,-0.47586067847990104
22715,ML,HistGBR,7.033465517713277,7.3816165837802705,4.688977011808851,4.059215840996507
22716,ML,HistGBR,6.960322354053258,7.978175866279536,0.8700402942566573,-0.34600872609901456
22717,ML,HistGBR,5.147763639349642,5.315934189446907,1.7159212131165473,0.513080490328623
22718,ML,HistGBR,5.547662621906501,6.0242885380867595,1.3869156554766253,-0.04735784186873637
22719,ML,HistGBR,0.590180884673697,0.6513001564423794,,
22720,ML,HistGBR,11.659890629475917,19.9556906966959,0.5953986704413234,-0.44116453827282615
22721,ML,HistGBR,5.486104602556181,8.805327762886927,0.9404750747239167,-0.8920855238676424
22722,ML,HistGBR,12.867907528684093,16.459808959522082,0.9590986977901187,-0.9590986977901187
22723,ML,HistGBR,3.525907456520288,8.003057349632057,1.0074021304343679,-0.7047831052806055
22725,ML,HistGBR,10.93306848583772,17.494864156154858,0.8864650123652206,-0.8736296282854086
22726,ML,HistGBR,23.956076030626562,26.311455268652878,1.0647144902500694,0.792151268311336
22727,ML,HistGBR,4.917485474317389,5.763608115040127,0.38318068631044594,-0.06980006588195876
22728,ML,HistGBR,9.534431816305242,10.903022129775385,0.7890564261769855,0.45072982539723083
22729,ML,HistGBR,6.561015732968656,7.0311638063081805,4.37401048864577,4.37401048864577
22730,ML,HistGBR,8.955058380148703,17.390576208818104,0.7164046704118963,-0.7164046704118963
22731,ML,HistGBR,9.870033267191157,13.283347003727194,0.9326015685534952,-0.584475990558058
22732,ML,HistGBR,14.801019909413794,19.19811819042251,0.9015849691013479,-0.8423356123295178
22733,ML,HistGBR,8.92995347016817,14.740652770922052,0.7821857054161901,-0.4607249032215403
22734,ML,HistGBR,33.12376223491491,52.70640662227355,0.9137589582045492,-0.9137589582045492
22735,ML,HistGBR,8.839200905048026,13.861511537875142,0.8554065391981961,-0.7771923436636685
22736,ML,HistGBR,9.451436930319526,13.681113156305408,0.8724403320294947,-0.8218085317298203
22737,ML,HistGBR,12.38383989185215,14.42155860182192,0.9061346262330842,-0.9061346262330842
22738,ML,HistGBR,14.848648820944161,18.160971243032073,0.9184731229449996,-0.9017305721583122
22739,ML,HistGBR,16.28953038416479,21.178370083679013,0.9220488896697052,-0.9047937157726684
22740,ML,HistGBR,9.501101366716094,25.752472465260876,1.2810473752875633,-0.7138059232803222
22741,ML,HistGBR,19.23876398547825,25.76894057137727,0.5829928480447955,0.25962687228594694
22742,ML,HistGBR,4.609778796314617,8.957368475358683,0.9878097420674179,-0.837329551949758
22743,ML,HistGBR,4.020375689292932,7.766908183834131,0.8934168198428737,-0.8148921715432906
22744,ML,HistGBR,2.35821039098035,3.677579966221887,0.94328415639214,-0.7565100678435791
22745,ML,HistGBR,6.371644881276374,7.7428942014615565,0.878847569831224,-0.7953440143387269
22746,ML,HistGBR,3.1329328077859646,5.43651395257717,0.8172868194224255,-0.6647789335586345
22747,ML,HistGBR,3.2445693848311428,4.955715712454764,0.865218502621638,-0.6987060203995215
22748,ML,HistGBR,3.9540940522070493,4.943795803963149,0.7653085262336224,-0.7040941929897229
22749,ML,HistGBR,8.237984540583176,11.162022102952744,0.8596157781478097,-0.8596157781478097
22750,ML,HistGBR,8.473053990961448,15.90673811647788,0.6435230879211227,-0.5946743154137957
22751,ML,HistGBR,6.7725126570670335,9.466394007813815,0.8645760838808979,-0.8562570274350602
22752,ML,HistGBR,3.9959338130150477,7.696917107774889,0.8412492237926416,-0.7745235382741208
22753,ML,HistGBR,5.083834264328036,9.169411976056562,0.9385540180297913,-0.8589804661589721
22754,ML,HistGBR,18.852385129391504,53.47755959337634,0.9751233687616295,-0.9376966219586769
22755,ML,HistGBR,9.086696302916772,19.434858312327854,0.9319688515812075,-0.8762928531908275
22756,ML,HistGBR,4.723939559778986,14.321331220199271,1.0122727628097827,-0.8711146156427805
22757,ML,HistGBR,7.4019447269379635,17.952732876128337,1.0093560991279042,-0.8618909094051759
22758,ML,HistGBR,17.52039904839769,50.158538012759166,0.9917207008526995,-0.9705615755321375
22759,ML,HistGBR,21.283505881691706,37.496242873876426,0.8837441888591713,-0.6211821438103142
22760,ML,HistGBR,1.9611573646145235,1.998767220203961,,
22761,ML,HistGBR,0.6022395848904291,0.7059964139497641,1.0324107169550212,-0.12175307349475152
22762,ML,HistGBR,0.923844396027064,1.2941112398034718,0.923844396027064,-0.537577893759627
22763,ML,HistGBR,0.835122677301952,0.9662539627410673,0.9110429206930385,-0.3475963457994787
22765,ML,HistGBR,0.7274069089370614,0.7648115673798389,,
22766,ML,HistGBR,36.82181142060927,118.55467324551333,0.8872725643520307,-0.8007439038150017
22767,ML,HistGBR,2.6782469097977013,4.827840705815124,0.9182560833592118,-0.6816848282976746
22768,ML,HistGBR,2.1635794030980278,4.050137678928513,0.7211931343660092,-0.46406005528954647
22769,ML,HistGBR,0.6905719462288474,0.7181811513232186,,
22770,ML,HistGBR,0.7265380439234267,0.9541346246780666,1.08980706588514,-0.3403992140501782
